idx,sing,plur,freq
_,abandons,abandon,_
_,abates,abate,_
_,abides,abide,_
_,abolishes,abolish,_
_,absorbs,absorb,_
_,abuses,abuse,_
_,accedes,accede,_
_,accelerates,accelerate,_
_,accepts,accept,_
_,accesses,access,_
_,acclaims,acclaim,_
_,accommodates,accommodate,_
_,accomodates,accomodate,_
_,accompanies,accompany,_
_,accomplishes,accomplish,_
_,accords,accord,_
_,accounts,account,_
_,accrues,accrue,_
_,accuses,accuse,_
_,achieves,achieve,_
_,acknowledges,acknowledge,_
_,acquires,acquire,_
_,acquits,acquit,_
_,acts,act,_
_,adapts,adapt,_
_,addresses,address,_
_,adds,add,_
_,adheres,adhere,_
_,adjusts,adjust,_
_,administers,administer,_
_,admits,admit,_
_,adopts,adopt,_
_,adorns,adorn,_
_,advances,advance,_
_,advantages,advantage,_
_,advises,advise,_
_,affects,affect,_
_,affords,afford,_
_,aggravates,aggravate,_
_,agonizes,agonize,_
_,agrees,agree,_
_,aids,aid,_
_,aims,aim,_
_,airs,air,_
_,alerts,alert,_
_,alienates,alienate,_
_,allays,allay,_
_,alleges,allege,_
_,alleviates,alleviate,_
_,allocates,allocate,_
_,alloweds,allowed,_
_,allows,allow,_
_,allies,ally,_
_,alters,alter,_
_,amalgamates,amalgamate,_
_,amasses,amass,_
_,amazes,amaze,_
_,ambles,amble,_
_,amends,amend,_
_,amortizes,amortize,_
_,amounts,amount,_
_,amplifies,amplify,_
_,analyzes,analyze,_
_,anchors,anchor,_
_,announces,announce,_
_,answers,answer,_
_,antagonizes,antagonize,_
_,anticipates,anticipate,_
_,apologizes,apologize,_
_,appeals,appeal,_
_,appears,appear,_
_,appeases,appease,_
_,appends,append,_
_,applauds,applaud,_
_,applies,apply,_
_,appoints,appoint,_
_,appraises,appraise,_
_,appreciates,appreciate,_
_,approaches,approach,_
_,approves,approve,_
_,argues,argue,_
_,arises,arise,_
_,arms,arm,_
_,arouses,arouse,_
_,arranges,arrange,_
_,arrests,arrest,_
_,arrives,arrive,_
_,articulates,articulate,_
_,asks,ask,_
_,assassinates,assassinate,_
_,assembles,assemble,_
_,asserts,assert,_
_,assesses,assess,_
_,assigns,assign,_
_,assimilates,assimilate,_
_,assists,assist,_
_,assuages,assuage,_
_,assumes,assume,_
_,assures,assure,_
_,atones,atone,_
_,attaches,attach,_
_,attacks,attack,_
_,attains,attain,_
_,attempts,attempt,_
_,attends,attend,_
_,attentions,attention,_
_,attests,attest,_
_,attracts,attract,_
_,attributes,attribute,_
_,auctions,auction,_
_,auditions,audition,_
_,audits,audit,_
_,augments,augment,_
_,authorizes,authorize,_
_,autographs,autograph,_
_,averages,average,_
_,averts,avert,_
_,avoids,avoid,_
_,awaits,await,_
_,backfires,backfire,_
_,backs,back,_
_,bails,bail,_
_,balances,balance,_
_,balks,balk,_
_,balloons,balloon,_
_,bands,band,_
_,banishes,banish,_
_,bankrolls,bankroll,_
_,bankrupts,bankrupt,_
_,banks,bank,_
_,bans,ban,_
_,bargains,bargain,_
